NumberOfNodes;Fanout2;Fanout4;Fanout6;Fanout8;Fanout10
1000;19.8428759855513;9.40725924958518;5.38142578833638;3.30963854087463;2.50254867018816
1500;29.1975104383178;14.4906780865369;8.38292567337762;5.53127123834472;3.97459286459465
2000;40.4714279789313;19.9494469613085;10.8891963339348;7.32642528351587;5.37379646104063
2500;50.342906641616;25.375186963585;14.4090523740539;9.2445891693853;6.48800906128869
3000;56.1000444621838;29.1382297286721;16.9335076134687;10.7644578514379;7.83337925198883
3500;59.6006455614072;33.2635854057818;19.8751977252428;12.4788307315962;9.14397131551711
4000;72.2003507122014;39.5996827423424;22.3808370967248;14.4496071084665;10.3317590630066
4500;84.1466530912726;41.8906819870766;25.3917175282601;16.3556298698211;10.8968924143298
5000;85.8255234387022;42.3767485294571;26.713811686419;16.9964156855676;11.9746076495156
5500;100.8774355042;50.9368685858513;29.2601620473245;19.8505846924202;12.880692332871
6000;113.737353139933;55.7960624530693;32.8513884546991;21.9617335655186;14.5050796499026
6500;126.761354435939;58.7831688894581;33.4596989663449;22.4496711250128;16.3375951198911
7000;128.935582263755;59.2618152262472;39.0292021414593;23.3569194302883;16.9572219449173
7500;130.890946715467;64.9517159853271;40.5139623614256;25.6163418626897;17.7943404786323
8000;149.731888652468;66.1954015234097;41.768577541549;26.7496481595293;19.8504016170821
8500;167.303770347005;72.243933004546;42.0525754009709;29.0544380345797;20.1751640622665
9000;169.581962152126;72.8541677383958;42.3097505382531;30.8290971210988;22.3174011897945
9500;171.682977632759;84.0748300443576;50.3142470157744;32.8303045380741;22.4595956789322
10000;173.627296112572;84.8890080541989;50.8722382194357;33.1675989269108;23.2948499315923
